ticker,name,premium_code,free_code
AAAP,Advanced Accelerator Applications S.A.,EOD/AAAP,
AAL,American Airlines Group,EOD/AAL,
AAME,Atlantic American Corporation,EOD/AAME,GOOG/NASDAQ_AAME
AAOI,Applied Optoelectronics,EOD/AAOI,GOOG/NASDAQ_AAOI
AAON,AAON,EOD/AAON,GOOG/NASDAQ_AAON
AAPC,Atlantic Alliance Partnership Corp.,EOD/AAPC,
AAPL,Apple Inc.,EOD/AAPL,GOOG/NASDAQ_AAPL
AAVL,Avalanche Biotechnologies,EOD/AAVL,
AAWW,Atlas Air Worldwide Holdings,EOD/AAWW,GOOG/NASDAQ_AAWW
AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,EOD/AAXJ,GOOG/NASDAQ_AAXJ
ABAC,Aoxin Tianli Group,EOD/ABAC,
ABAX,ABAXIS,EOD/ABAX,GOOG/NASDAQ_ABAX
ABCB,Ameris Bancorp,EOD/ABCB,GOOG/NASDAQ_ABCB
ABCD,Cambium Learning Group,EOD/ABCD,GOOG/NASDAQ_ABCD
ABCO,The Advisory Board Company,EOD/ABCO,GOOG/NASDAQ_ABCO
ABCW,Anchor BanCorp Wisconsin Inc.,EOD/ABCW,
ABDC,Alcentra Capital Corp.,EOD/ABDC,
ABEO,Abeona Therapeutics Inc.,EOD/ABEO,
ABEOW,Abeona Therapeutics Inc.,EOD/ABEOW,
ABGB,Abengoa,EOD/ABGB,GOOG/NASDAQ_ABGB
ABIO,ARCA biopharma,EOD/ABIO,GOOG/NASDAQ_ABIO
ABMD,ABIOMED,EOD/ABMD,GOOG/NASDAQ_ABMD
ABTL,Autobytel Inc.,EOD/ABTL,GOOG/NASDAQ_ABTL
ABTX,Allegiance Bancshares,EOD/ABTX,
ABUS,Arbutus Biopharma Corporation,EOD/ABUS,
ABY,Abengoa Yield plc,EOD/ABY,
ACAD,ACADIA Pharmaceuticals Inc.,EOD/ACAD,GOOG/NASDAQ_ACAD
ACAS,American Capital,EOD/ACAS,GOOG/NASDAQ_ACAS
ACAT,Arctic Cat Inc.,EOD/ACAT,GOOG/NASDAQ_ACAT
ACBI,Atlantic Capital Bancshares,EOD/ACBI,
ACET,Aceto Corporation,EOD/ACET,GOOG/NASDAQ_ACET
ACFC,Atlantic Coast Financial Corporation,EOD/ACFC,GOOG/NASDAQ_ACFC
ACGL,Arch Capital Group Ltd.,EOD/ACGL,GOOG/NASDAQ_ACGL
ACHC,Acadia Healthcare Company,EOD/ACHC,GOOG/NASDAQ_ACHC
ACHN,Achillion Pharmaceuticals,EOD/ACHN,GOOG/NASDAQ_ACHN
ACIW,ACI Worldwide,EOD/ACIW,GOOG/NASDAQ_ACIW
ACLS,Axcelis Technologies,EOD/ACLS,GOOG/NASDAQ_ACLS
ACNB,ACNB Corporation,EOD/ACNB,GOOG/NASDAQ_ACNB
ACOR,Acorda Therapeutics,EOD/ACOR,GOOG/NASDAQ_ACOR
ACPW,Active Power,EOD/ACPW,GOOG/NASDAQ_ACPW
ACRS,Aclaris Therapeutics,EOD/ACRS,
ACRX,AcelRx Pharmaceuticals,EOD/ACRX,GOOG/NASDAQ_ACRX
ACSF,American Capital Senior Floating,EOD/ACSF,
ACST,Acasti Pharma,EOD/ACST,GOOG/NASDAQ_ACST
ACTA,Actua Corporation,EOD/ACTA,
ACTG,Acacia Research Corporation,EOD/ACTG,GOOG/NASDAQ_ACTG
ACTS,Actions Semiconductor Co.,EOD/ACTS,GOOG/NASDAQ_ACTS
ACTX,Global X Guru Activist ETF,EOD/ACTX,
ACUR,Acura Pharmaceuticals,EOD/ACUR,GOOG/NASDAQ_ACUR
ACWI,iShares MSCI ACWI Index Fund,EOD/ACWI,GOOG/NASDAQ_ACWI
ACWX,iShares MSCI ACWI ex US Index Fund,EOD/ACWX,GOOG/NASDAQ_ACWX
ACXM,Acxiom Corporation,EOD/ACXM,GOOG/NASDAQ_ACXM
ADAP,Adaptimmune Therapeutics plc,EOD/ADAP,
ADAT,Authentidate Holding Corp.,EOD/ADAT,GOOG/NASDAQ_ADAT
ADBE,Adobe Systems Incorporated,EOD/ADBE,GOOG/NASDAQ_ADBE
ADHD,Alcobra Ltd.,EOD/ADHD,GOOG/NASDAQ_ADHD
ADI,Analog Devices,EOD/ADI,GOOG/NASDAQ_ADI
ADMA,ADMA Biologics Inc,EOD/ADMA,
ADMP,Adamis Pharmaceuticals Corporation,EOD/ADMP,
ADMS,Adamas Pharmaceuticals,EOD/ADMS,
ADP,Automatic Data Processing,EOD/ADP,GOOG/NASDAQ_ADP
ADRA,BLDRS Asia 50 ADR Index Fund,EOD/ADRA,GOOG/NASDAQ_ADRA
ADRD,BLDRS Developed Markets 100 ADR Index Fund,EOD/ADRD,GOOG/NASDAQ_ADRD
ADRE,BLDRS Emerging Markets 50 ADR Index Fund,EOD/ADRE,GOOG/NASDAQ_ADRE
ADRO,Aduro Biotech,EOD/ADRO,
ADRU,BLDRS Europe 100 ADR Index Fund,EOD/ADRU,GOOG/NASDAQ_ADRU
ADSK,Autodesk,EOD/ADSK,GOOG/NASDAQ_ADSK
ADTN,ADTRAN,EOD/ADTN,GOOG/NASDAQ_ADTN
ADUS,Addus HomeCare Corporation,EOD/ADUS,GOOG/NASDAQ_ADUS
ADXS,Advaxis,EOD/ADXS,GOOG/NASDAQ_ADXS
ADXSW,Advaxis,EOD/ADXSW,
AEGN,Aegion Corp,EOD/AEGN,GOOG/NASDAQ_AEGN
AEGR,Aegerion Pharmaceuticals,EOD/AEGR,GOOG/NASDAQ_AEGR
AEHR,Aehr Test Systems,EOD/AEHR,GOOG/NASDAQ_AEHR
AEIS,Advanced Energy Industries,EOD/AEIS,GOOG/NASDAQ_AEIS
AEMD,Aethlon Medical,EOD/AEMD,
AEPI,AEP Industries Inc.,EOD/AEPI,GOOG/NASDAQ_AEPI
AERI,Aerie Pharmaceuticals,EOD/AERI,GOOG/NASDAQ_AERI
AETI,American Electric Technologies,EOD/AETI,GOOG/NASDAQ_AETI
AEY,ADDvantage Technologies Group,EOD/AEY,GOOG/NASDAQ_AEY
AEZS,AEterna Zentaris Inc.,EOD/AEZS,GOOG/NASDAQ_AEZS
AFAM,Almost Family Inc,EOD/AFAM,GOOG/NASDAQ_AFAM
AFCB,Athens Bancshares Corporation,EOD/AFCB,GOOG/NASDAQ_AFCB
AFFX,Affymetrix,EOD/AFFX,GOOG/NASDAQ_AFFX
AFH,Atlas Financial Holdings,EOD/AFH,GOOG/NASDAQ_AFH
AFMD,Affimed N.V.,EOD/AFMD,
AFOP,Alliance Fiber Optic Products,EOD/AFOP,GOOG/NASDAQ_AFOP
AFSI,AmTrust Financial Services,EOD/AFSI,GOOG/NASDAQ_AFSI
AGEN,Agenus Inc.,EOD/AGEN,GOOG/NASDAQ_AGEN
AGFS,AgroFresh Solutions,EOD/AGFS,
AGFSW,AgroFresh Solutions,EOD/AGFSW,
AGII,Argo Group International Holdings,EOD/AGII,GOOG/NASDAQ_AGII
AGIIL,Argo Group International Holdings,EOD/AGIIL,
AGIO,Agios Pharmaceuticals,EOD/AGIO,GOOG/NASDAQ_AGIO
